scenario,duration_multiplier,equivalent_peak_intensity_mm_h,rainfall_scale_for_fs_1
Bare slope,0.5,72.0,3.0
Bare slope,0.75,50.62237602621316,2.1092656677588817
Bare slope,1.0,39.610943236202,1.6504559681750832
Bare slope,1.25,34.130340041220194,1.422097501717508
Bare slope,1.5,31.002161642164005,1.2917567350901669
Bare slope,2.0,26.36611846983433,1.0985882695764304
Cracked slope,0.5,44.340598554164174,1.8475249397568407
Cracked slope,0.75,27.800251796096568,1.158343824837357
Cracked slope,1.0,21.753111565858127,0.9063796485774219
Cracked slope,1.25,18.74333288893104,0.7809722037054599
Cracked slope,1.5,17.025433583557604,0.7093930659815668
Cracked slope,2.0,14.479461235553034,0.6033108848147097
Vegetated slope,0.5,72.0,3.0
Vegetated slope,0.75,72.0,3.0
Vegetated slope,1.0,72.0,3.0
Vegetated slope,1.25,72.0,3.0
Vegetated slope,1.5,69.90246903598307,2.9126028764992946
Vegetated slope,2.0,61.50441995635629,2.5626841648481786
Cracked vegetated slope,0.5,72.0,3.0
Cracked vegetated slope,0.75,60.92094265446068,2.5383726106025284
Cracked vegetated slope,1.0,51.53869819790124,2.147445758245885
Cracked vegetated slope,1.25,45.57327576354146,1.8988864901475608
Cracked vegetated slope,1.5,40.58250648155807,1.6909377700649197
Cracked vegetated slope,2.0,35.71788752004504,1.4882453133352098
Road surcharge and clogged drain,0.5,33.49382438063621,1.3955760158598423
Road surcharge and clogged drain,0.75,20.29806930050254,0.8457528875209392
Road surcharge and clogged drain,1.0,15.379269915819167,0.640802913159132
Road surcharge and clogged drain,1.25,12.859884678572417,0.5358285282738507
Road surcharge and clogged drain,1.5,11.36246397122741,0.47343599880114207
Road surcharge and clogged drain,2.0,9.735977531969548,0.40566573049873117
Road surcharge with maintained drainage,0.5,72.0,3.0
Road surcharge with maintained drainage,0.75,72.0,3.0
Road surcharge with maintained drainage,1.0,64.19223555922508,2.6746764816343784
Road surcharge with maintained drainage,1.25,54.92089127451181,2.2883704697713254
Road surcharge with maintained drainage,1.5,49.595471041649574,2.0664779600687324
Road surcharge with maintained drainage,2.0,44.72660565376282,1.863608568906784
